,%Deaths_04,%Deaths_514,%Deaths_1549,%Deaths_5069,%Deaths_70+,HospInc_<1,HospInc_14,HospInc_514,HospInc_15+,SevHospInc_14,SevHospInc_514,SevHospInc_15+
0,0.03239458099082033,0.16535434889312092,0.13571293524750355,0.0181845498957932,0.0033265847067923972,0.004299599605878741,0.0058576955046501875,0.00023952863715605993,0.0003992010382793159,0.0015613273436855292,0.00013723869379070238,0.00022872350339325363
1,0.01761806391250067,0.18442864059743977,0.17421783478286382,0.024280714665811064,0.004464433671564745,0.0026881312144935833,0.0045663574226905606,0.00026666098466456305,0.0005231240267348606,0.001581264187175011,0.00023200403851300418,0.00045513552347502853
2,0.07906316096237485,0.13376235606579678,0.14387076461991438,0.019436515272040263,0.0035593209831985295,0.005955633098648252,0.007323586992830187,0.0002921445541698725,0.0006685265154101211,0.0016927971065199925,0.00022205128887912986,0.0005081291856303908
3,0.01960853353551946,0.15378854819793902,0.1405333599615346,0.018921844741842265,0.0034635866715329454,0.003139457236181202,0.0040231042368178115,0.00024490268870493886,0.000463322439936423,0.001033918019157826,0.00011115897116502745,0.00021029759213078169
4,0.03429435441146118,0.22801582175665008,0.11778203304314575,0.01550339578056982,0.0028297946667250424,0.0054138845897786754,0.007686794371605569,0.0005810533458482491,0.0005522643963145335,0.002329423401394527,0.0004895823359777951,0.00046532542176540455
5,0.04241474406879028,0.2506346424385003,0.22342701116190786,0.03282230895987319,0.0060783823302079515,0.004833952581543279,0.00706506761180634,0.0002809600273324294,0.0005082003038602976,0.00291550866339157,0.00027566585599696447,0.000498624210396339
6,0.03517153105014452,0.21778843801080436,0.18030700050720397,0.025289853475041247,0.004653909775460631,0.002915568557273435,0.007378762041426885,0.00043644798398562737,0.0007250496384045328,0.0017341905029458606,0.00017383066472168382,0.0002887763610433515
7,0.031119019791357793,0.25875245313081346,0.280536638715082,0.04397052511743945,0.008220129849980091,0.0014875875137366347,0.00646811912544123,0.000248880356054487,0.0005845676722551123,0.0027634617222257853,0.00021333715771506314,0.0005010841661754682
8,0.04012001739934128,0.26122914323470803,0.16818672844812263,0.023293744640851696,0.004279429132937441,0.007132156889223895,0.006275241685630596,0.00042409770078625326,0.0005099227630065149,0.0022896088321116715,0.0003684200953254657,0.00044297762663459946
9,0.03001047942491221,0.21445007854301368,0.21013696103463644,0.030425743164948522,0.0056232075985592055,0.0027823721198504785,0.0044090228042734355,0.0005114188511121855,0.0010479955596221567,0.001244420720840729,0.00027637892181536767,0.0005663535518993372
10,0.04096517042844686,0.20956511435710104,0.21291876864346693,0.030921655796526414,0.005717244673405699,0.006392047943976883,0.0059198955782968805,0.00048677110844971985,0.0010443612963514071,0.0025323851446146755,0.00023669785246893267,0.0005078322680968701
